Date,Open,High,Low,Close,Adj Close,Volume,YearMonth,Open_MA20,Open_MA50,Open_MA200,High_MA20,High_MA50,High_MA200,Low_MA20,Low_MA50,Low_MA200,Close_MA20,Close_MA50,Close_MA200,Adj Close_MA20,Adj Close_MA50,Adj Close_MA200,Volume_MA20,Volume_MA50,Volume_MA200,Daily_Return,Daily_Return_Pct
2011-01-13,21.530000686645508,22.0,21.18000030517578,21.25,16.332218170166016,15536900,2011-01,,,,,,,,,,,,,,,,,,,,
2011-01-14,21.15999984741211,21.450000762939453,21.15999984741211,21.309999465942383,16.378332138061523,1304800,2011-01,,,,,,,,,,,,,,,,,,,0.002823496931956493,0.2823496931956493
2011-01-18,21.299999237060547,21.450000762939453,21.200000762939453,21.3700008392334,16.424449920654297,124800,2011-01,,,,,,,,,,,,,,,,,,,0.0028157801541708327,0.28157801541708327
2011-01-19,21.420000076293945,21.420000076293945,20.8799991607666,21.25,16.332218170166016,1010200,2011-01,,,,,,,,,,,,,,,,,,,-0.005615515340473998,-0.5615515340473998
2011-01-20,21.049999237060547,21.399999618530273,21.030000686645508,21.209999084472656,16.30147361755371,736600,2011-01,,,,,,,,,,,,,,,,,,,-0.0018824480723913517,-0.18824480723913517
2011-01-21,21.299999237060547,21.299999237060547,21.030000686645508,21.25,16.332218170166016,636800,2011-01,,,,,,,,,,,,,,,,,,,0.0018859983663808144,0.18859983663808144
2011-01-24,21.200000762939453,21.38999938964844,21.100000381469727,21.299999237060547,16.370651245117188,354300,2011-01,,,,,,,,,,,,,,,,,,,0.002353206071014746,0.23532060710147462
2011-01-25,21.200000762939453,21.469999313354492,21.149999618530273,21.270000457763672,16.347591400146484,295700,2011-01,,,,,,,,,,,,,,,,,,,-0.0014086088956040133,-0.14086088956040133
2011-01-26,21.290000915527344,21.36000061035156,21.209999084472656,21.270000457763672,16.347591400146484,346800,2011-01,,,,,,,,,,,,,,,,,,,0.0,0.0
2011-01-27,21.200000762939453,21.399999618530273,21.200000762939453,21.399999618530273,16.447507858276367,450400,2011-01,,,,,,,,,,,,,,,,,,,0.006111998745514713,0.6111998745514713
2011-01-28,21.260000228881836,21.3799991607666,21.260000228881836,21.299999237060547,16.370651245117188,475300,2011-01,,,,,,,,,,,,,,,,,,,-0.004672842464732763,-0.46728424647327627
2011-01-31,21.299999237060547,21.399999618530273,21.25,21.290000915527344,16.362960815429688,197600,2011-01,,,,,,,,,,,,,,,,,,,-0.0004697693190301999,-0.04697693190301999
2011-02-01,21.270000457763672,21.399999618530273,21.209999084472656,21.299999237060547,16.370651245117188,560900,2011-02,,,,,,,,,,,,,,,,,,,0.0004699901059621592,0.04699901059621592
2011-02-02,21.149999618530273,21.25,21.059999465942383,21.11000061035156,16.224618911743164,168300,2011-02,,,,,,,,,,,,,,,,,,,-0.008920374100424344,-0.8920374100424344
2011-02-03,21.020000457763672,21.280000686645508,21.020000457763672,21.18000030517578,16.278419494628906,549400,2011-02,,,,,,,,,,,,,,,,,,,0.003315984380181769,0.3315984380181769
2011-02-04,21.100000381469727,21.280000686645508,21.0,21.059999465942383,16.186189651489258,219600,2011-02,,,,,,,,,,,,,,,,,,,-0.005665773828354759,-0.5665773828354759
2011-02-07,21.06999969482422,21.200000762939453,20.950000762939453,21.15999984741211,16.26305389404297,454900,2011-02,,,,,,,,,,,,,,,,,,,0.004748754599365412,0.47487545993654123
2011-02-08,21.209999084472656,21.209999084472656,20.940000534057617,20.950000762939453,16.101648330688477,247100,2011-02,,,,,,,,,,,,,,,,,,,-0.009924677394914982,-0.9924677394914982
2011-02-09,20.799999237060547,21.200000762939453,20.61000061035156,21.13999938964844,16.24767303466797,423900,2011-02,,,,,,,,,,,,,,,,,,,0.00906892890594202,0.906892890594202
