YearMonth,Mean_Return,Median_Return,Return_Std,Return_Variance,Min_Return,Max_Return,Mean_Price,Price_Std,Mean_ZScore,Mean_Squared_Return,Annualised_Volatility,Annualised_Volatility_Pct,Annualised_Mean_Return
2011-01,0.00017096017476718453,0.0,0.003480615955873851,1.2114687432283641e-05,-0.005631341623041145,0.0060933962416872415,16.362322012583416,0.04086254423161974,,1.1042579592523374e-05,0.05525306537139345,5.525306537139345,0.0430819640413305
2011-02,0.00066327267900467,0.00046987969520559554,0.007322535798341717,5.3619530517995964e-05,-0.009974255308219708,0.01506637373369869,16.350018651861895,0.13128510118547032,0.7843318951652901,5.123738061113126e-05,0.11624165213267999,11.624165213267998,0.16714471510917683
2011-03,-0.00023146109408858864,-0.0018629276248395333,0.010954440368175318,0.00011999976377990899,-0.01813041459984602,0.026870370922323965,16.392229411913,0.20835362214650247,0.07315425533037292,0.00011483595698407657,0.17389634979647234,17.389634979647234,-0.05832819571032434
2011-04,0.0018687477853675811,0.000921160645438198,0.009130564416016678,8.336720655502997e-05,-0.019319759551598505,0.019572076949910627,16.754495906829835,0.22292418244339418,0.6911749454028182,8.269106451259471e-05,0.14494321664661497,14.494321664661497,0.47092444191263044
2011-05,0.0007276696090258413,0.001357728689166722,0.010261187188809681,0.00010529196252379192,-0.029311534804698836,0.019128083755713673,16.934902826944988,0.21257961899794967,0.08902068082129892,0.00010080756260636832,0.16289129674723438,16.289129674723437,0.183372741474512
2011-06,0.0005065298757833039,-0.0020780903371977973,0.01048542843074932,0.00010994420937636614,-0.02164180477607841,0.024446865208858717,17.054134368896484,0.2959066286682764,0.5534744194562086,0.00010520331782886508,0.16645101610637367,16.645101610637365,0.12764552869739257
2011-07,-0.001035148563152956,0.0013332244197122004,0.01606075813100085,0.0002579479517425099,-0.034695820182655004,0.04181303179879127,17.55386266708374,0.29412517902359164,0.1518051096744369,0.0002461220867031821,0.2549566312907207,25.49566312907207,-0.2608574379145449
2011-08,-0.003864057886592956,-0.001048068120910875,0.03543444915916945,0.0012556001872137646,-0.08283852684201981,0.0782224643581212,15.181889036427373,0.87047986191275,-1.1531726976337624,0.0012159398180771508,0.5625044419183449,56.25044419183449,-0.9737425874214249
2011-09,-0.004894378660156596,-0.00689458564711542,0.022364963526885127,0.000500191593558902,-0.03985830595203645,0.031416281086230645,14.79478981381371,0.40266170829481573,-0.45037180166897917,0.0005003278887155695,0.35503278943900846,35.503278943900845,-1.2333834223594622
2011-10,0.005788168664410305,0.0053788109915312386,0.03385461902132757,0.0011461352290792345,-0.05673267241449694,0.07381999620085222,14.855713344755626,0.9052179460154203,0.517119528701961,0.001125060257515504,0.5374254159676178,53.74254159676178,1.458618503431397
2011-11,0.0008613935432388786,0.007471947566237578,0.02449211304639528,0.0005998636014774059,-0.058929965058898984,0.027865464066587492,15.957378705342611,0.3478397161899234,0.5252046984124819,0.0005720406669100534,0.3888002412194549,38.88002412194549,0.2170711728961974
2011-12,0.00019452389963449902,0.0,0.012518553521725843,0.0001567141822763145,-0.02278426597439967,0.02376342215359751,16.307720048086985,0.2768391233377258,0.6397424254039079,0.0001492894417154476,0.19872587635643038,19.87258763564304,0.049020022707893754
2012-01,0.0038236759267382117,0.0036526605132779677,0.015535783444150644,0.00024136056722354527,-0.03255057406772512,0.025867499714378708,16.830107116699217,0.5318957681034635,0.8748037173348621,0.00024391303645508532,0.24662291649466278,24.66229164946628,0.9635663335380293
