YearMonth,mean,median,std,min,max,count
2011-01,0.00017648147061866126,0.0,0.0034803331669749893,-0.005615515340473998,0.006111998745514713,11
2011-02,0.0006889218147262925,0.0004699901059621592,0.007333331608022857,-0.009924677394914982,0.015180443696019674,19
2011-03,-0.0001739319306950033,-0.001861193452218357,0.010987952123838058,-0.017967047427800087,0.027234634654199175,23
2011-04,0.0019101604747277013,0.0009215851393314933,0.009145202451418089,-0.019134329074532164,0.01976486575298808,20
2011-05,0.0007779836389893779,0.0013586508200507108,0.010230523845282558,-0.028886118436933894,0.019312197591140334,21
2011-06,0.0005592608945168049,-0.0020759055187334896,0.010521980546590945,-0.02140930120527429,0.02474813988219915,22
2011-07,-0.0009120825389578591,0.0013342209299733732,0.016072560983428342,-0.034100821387264224,0.04269950887317231,20
2011-08,-0.0032592744302759264,-0.001047519089342086,0.03524163990076855,-0.07950022877461216,0.08136319668296976,23
2011-09,-0.0046451052570844024,-0.00687087252018459,0.02229886221011635,-0.0390744130573647,0.031914981177946444,21
2011-10,0.006355941112372492,0.005393302766561581,0.034250829737224014,-0.055153380826371334,0.07661299362424234,21
2011-11,0.0011455089163299604,0.007499932222995387,0.024240392542798153,-0.05722720611785492,0.028257337554625117,21
2011-12,0.00026927061383769893,0.0,0.012543491143228443,-0.022526664713925282,0.02404802215515578,21
2012-01,0.003945758329326132,0.003663028255456946,0.01553083936801765,-0.032026505763678936,0.026204967013614633,20
2012-02,-0.0012973820990811347,-0.002436390141798639,0.016088033268794235,-0.0226348071604644,0.04209097043343424,20
2012-03,0.0031644650322478663,0.001095775421628531,0.013896630525625345,-0.020063891162085068,0.03490032403973942,22
2012-04,0.0016832891309418285,0.0032137488750414445,0.017724264951647407,-0.02716702233266033,0.03245627692470543,20
2012-05,-0.0017214584248726713,-0.0016685519247369163,0.01380520464954142,-0.03004285145767327,0.02162844673508979,22
2012-06,0.003928112668867591,0.004797198520113621,0.015102669284667804,-0.02756596789437582,0.03739973538280217,21
2012-07,0.0033846598956554217,0.004408675112507865,0.01133796280224369,-0.018126810517953174,0.023579407420045495,21
2012-08,0.0021360025423127686,0.0007678772086692209,0.012661549772565645,-0.027307882509010617,0.0344009385632682,23
2012-09,-0.00045950814759604093,-0.0003636872575629724,0.01048132766036375,-0.019636407612558804,0.024926516024409207,19
2012-10,0.0007195103847883255,0.001440968842395307,0.010096449447290238,-0.018948987640047488,0.015470116103712517,21
2012-11,0.00021269898034278638,0.0014572421185274909,0.015029093329981535,-0.031365132612116264,0.03031426010019911,21
2012-12,0.0016952123728359802,0.0007286920129478958,0.008799803923951485,-0.006977739090741952,0.026167908210176227,20
2013-01,0.0016872151024799119,0.0024612356399560387,0.011269128969510534,-0.018576682377235754,0.030048949757835786,21
2013-02,0.002416460656807562,0.001009135001009298,0.009842761597937308,-0.015101689561712761,0.025243805104840256,19
2013-03,0.003240739007856924,0.004354644835810273,0.009598021372858647,-0.015624892604769847,0.01808212638246287,20
2013-04,0.002510467690955637,0.004799887186895946,0.013563937778713016,-0.02974772196691211,0.022277331162722236,22
2013-05,-0.0020431315152539212,0.0004272422624956862,0.014808347518639414,-0.03418050291624375,0.03306018874543737,22
2013-06,-0.0016034232969180772,-0.0037011013769703838,0.020096814226118507,-0.039227924306160955,0.03527459340462391,20
2013-07,0.002283638332626812,0.001812130882082652,0.011909670364180638,-0.02383053177947314,0.02783728740545932,22
2013-08,-0.004036875756535688,-0.004654986895841595,0.009956272587656079,-0.031999850372427696,0.010444701310951432,22
2013-09,0.0019377417841247246,0.00015968652860509636,0.01335310968970771,-0.01770745278760233,0.03365219169647071,20
2013-10,0.003882838521387638,0.001185305557517058,0.013311770508612425,-0.024236639295194484,0.03477399796507763,23
2013-11,-0.0031904002894419027,-0.003658997111220419,0.01144616124757797,-0.026259737113031312,0.020006508467030892,20
2013-12,0.000775127608115452,0.000315488151623633,0.012727073731585973,-0.03132772540179596,0.027733749655536988,21
2014-01,0.003128780453335935,0.0003127092658326003,0.016577642589897797,-0.021565235316964082,0.045266390095477504,21
2014-02,-0.0005644609553510737,0.0006143830248959148,0.011899121079801811,-0.04093250515689639,0.016234833445759378,19
2014-03,0.001318935593856382,0.0018324721133937683,0.009447259554801902,-0.017332533544068718,0.02130202055601038,21
2014-04,0.00033086220585197356,-0.000611973824210521,0.008613860193617538,-0.016236419304167526,0.014088792452176202,21
2014-05,0.0005314174253726547,-0.0008747269562858762,0.009512335425559392,-0.013267929320801564,0.020606408721825842,21
2014-06,0.0006738108397301183,-0.0005845145941513197,0.006698777863311135,-0.008099261457765294,0.018922885642145504,21
2014-07,-0.0003111446740639517,-0.0015630821670596373,0.008197336400467303,-0.018322277161823664,0.01147790387767511,22
2014-08,0.0010713800703676403,0.000575180811301923,0.007523892665858971,-0.014167883388371716,0.015521819905743861,21
2014-09,-0.002571028928667811,0.0005948800270747512,0.009210901687147648,-0.02904809112643425,0.00933471512582651,21
2014-10,0.006631821794950655,0.0059899292831953055,0.010232026945307017,-0.008345035559832237,0.028399096201403573,23
2014-11,0.0013213946611362794,0.0033730346457931937,0.006312478675780901,-0.01301037299723995,0.010343862300838058,19
2014-12,0.0009075117606024671,0.002494542678541656,0.010920769129110712,-0.020181889513341433,0.021421193099759428,22
2015-01,0.00551656385297219,0.006899948795077604,0.011996638305922548,-0.02006291960616491,0.023060393236250976,20
2015-02,-0.004052980030334952,-0.0021078972544271712,0.013104945750524045,-0.03664289119166575,0.0164668182332548,19
2015-03,0.002799013503574073,0.004829253677465117,0.01430015940214811,-0.03697482415040332,0.027628588991728043,22
2015-04,-0.00394921941485573,-0.0016941597108847128,0.008463645561600728,-0.024509821161657896,0.008094265190335515,21
2015-05,-0.000494782555125628,0.0002545527526401914,0.012423256087046461,-0.02940434474010445,0.022391899173387353,20
2015-06,0.00017759039553408548,-0.0018789612080846174,0.012059577011981766,-0.01938911069879179,0.026858883578753545,22
2015-07,0.0027444665341777637,0.00024479539642185966,0.007880813191671474,-0.00895242320447176,0.016336268619796313,22
2015-08,-0.0035386231108160654,-0.002642815860218528,0.017068287556246595,-0.04953650500992279,0.02639938079541504,21
2015-09,0.0031699850096598516,0.004793113800686477,0.011914279395567221,-0.01998942048780661,0.023739700692137378,21
2015-10,0.0014561922457530972,0.0010881504745969828,0.008144789818936389,-0.009398432864342054,0.02025264262151172,22
2015-11,-0.0027719100004731877,-0.001620908127023979,0.013825660620896948,-0.034132242458304374,0.017811997468141216,20
2015-12,-0.0013174375098250176,-0.0005085942623813677,0.013602628287080103,-0.02892072894851394,0.022024255826814443,22
2016-01,-0.001211092129597673,-0.005397979738392178,0.01608218758912589,-0.028848792156660585,0.031117003220022088,19
2016-02,-0.0003057702208677404,-2.6918629094097035e-06,0.01425050081227045,-0.029988776948171036,0.023583810159377272,20
2016-03,0.0036989694592349594,0.004285107075410743,0.010133183174271731,-0.016175404423832918,0.02444081342283755,22
2016-04,-0.0002447967578254051,0.0005190468512423774,0.010702156975229879,-0.020382720631311524,0.030051880868237735,21
2016-05,0.0004995781954852475,0.005042472720242941,0.013971583910010745,-0.026498037888335824,0.02545988840921387,21
2016-06,0.0029961627109817324,0.0008577277140815465,0.008782521756593121,-0.009225623356870716,0.023485935371323707,22
2016-07,0.003946040690969965,0.0032240055883930863,0.009362511120073656,-0.019095759306319238,0.02289870401029903,20
2016-08,-0.0015029189677357518,-0.000225544562649449,0.006393222846982832,-0.013275245477239572,0.008375561232187412,23
2016-09,-0.000636904760482726,0.003166818408666394,0.013334069164101358,-0.03943548771728678,0.01992121171880057,21
2016-10,-0.004131727131737103,-0.003915022018025627,0.011999944801779041,-0.02236899992436825,0.02345375155042828,21
2016-11,0.0005131712543472233,-0.0014797962699089062,0.014159726249495724,-0.029715433409695624,0.02629530398606006,21
2016-12,0.003881388138779722,0.007291731755734165,0.01474695628133029,-0.02922074254252338,0.038854167638826986,21
2017-01,-0.00012424798733137176,0.0004473022906025248,0.01028741627513157,-0.014959732972584905,0.019548497872208026,20
2017-02,0.0013542200426546601,0.0013912241672202619,0.01107982853523831,-0.01397637478365732,0.03171278205734995,19
2017-03,-0.0018490964971720782,-0.0035654471944908117,0.011797509045759493,-0.01970221105436154,0.025198104614011063,23
2017-04,0.0012905179777574361,-0.0004490623628039536,0.011153750347786193,-0.024671948948452593,0.0226462165204242,19
2017-05,-0.004119041121751382,-0.0024004844592385166,0.012217263950833186,-0.03372097621769099,0.01485657806311469,22
2017-06,0.000727837706193885,0.0006087035429186427,0.009703166733637282,-0.02005855062021844,0.01642221577814751,22
2017-07,0.0015880771527047644,0.0035795125792232874,0.011382142416760856,-0.02572582300432713,0.01777130880784239,20
2017-08,5.3761866864691136e-05,-0.00024755677646470797,0.009502844184527806,-0.012367015231947942,0.02263013469781683,23
2017-09,-0.000710829996543283,-0.0012411125196363781,0.006898603661485194,-0.014384844953724496,0.011738175007039331,20
2017-10,-0.0010943868844664523,-0.0023112579489106277,0.009040871614948884,-0.02006505608677256,0.013829571649444983,22
2017-11,0.0007223396511451409,0.0007557607080759254,0.007591020040281081,-0.016157974745077852,0.013367265075018064,21
2017-12,-0.00103074431859293,0.001452211044337015,0.011396997291096599,-0.0352790864315482,0.013189030320260642,20
2018-01,-0.003810093351084012,-0.002092042664007643,0.009801913065007571,-0.018508500142863205,0.012055123773978771,21
2018-02,-0.00540328684533026,-0.003768830777039267,0.017713231601343436,-0.03829402801777604,0.025592978076111272,19
2018-03,0.0029590630995528764,0.001848298129794257,0.014070503627411822,-0.022755085458768365,0.04091600510169369,21
2018-04,0.00030398637762612824,0.0029410476964712995,0.012673135727876927,-0.01945174220580903,0.026831622431258806,21
2018-05,0.003701227273712935,0.0042827549034712975,0.012794807580180152,-0.027385180151426658,0.026642534860408906,22
2018-06,0.002855417653705746,0.0032154399341970397,0.008218006120911071,-0.015171441961582155,0.018918841598262404,21
2018-07,0.0002524023278279719,-0.0013306920789586396,0.012866133492032418,-0.02415094051598543,0.025073396973343653,21
2018-08,0.0012210178025308007,-0.0005045417321110079,0.007430272226478012,-0.010908136568045679,0.01967479681612061,23
