YearMonth,Monthly_High,Monthly_Low,Average_Close,Median_Close,Average_Volume,Price_Range
2011-01,22.0,20.8799991607666,21.28916660944621,21.280000686645508,1789183.3333333333,1.1200008392333984
2011-02,21.88999938964844,20.61000061035156,21.27315782245837,21.280000686645508,231984.2105263158,1.279998779296882
2011-03,21.690000534057617,20.450000762939453,21.213913212651793,21.270000457763672,314713.04347826086,1.239999771118164
2011-04,22.280000686645508,21.100000381469727,21.62100009918213,21.670000076293945,210370.0,1.1800003051757812
2011-05,22.579999923706055,21.149999618530273,21.853809538341704,21.88999938964844,148914.2857142857,1.4300003051757812
2011-06,23.34000015258789,21.13999938964844,21.870000145652078,21.809999465942383,173290.9090909091,2.2000007629394496
2011-07,23.25,21.399999618530273,22.43149995803833,22.364999771118164,236310.0,1.8500003814697266
2011-08,22.190000534057617,17.790000915527344,19.400434908659562,19.09000015258789,242056.52173913043,4.399999618530273
2011-09,20.3700008392334,17.729999542236328,18.764762151808966,18.790000915527344,197504.7619047619,2.6400012969970703
2011-10,21.209999084472656,16.469999313354492,18.769523893083846,18.63999938964844,187619.04761904763,4.739999771118164
2011-11,21.65999984741211,18.969999313354492,20.161428542364213,20.149999618530273,410828.5714285714,2.690000534057617
2011-12,21.229999542236328,19.729999542236328,20.47095235188802,20.440000534057617,280661.90476190473,1.5
2012-01,22.299999237060547,19.790000915527344,21.043999862670898,21.06999969482422,104150.0,2.509998321533203
2012-02,23.1200008392334,21.299999237060547,22.328500175476073,22.40999984741211,160655.0,1.8200016021728516
2012-03,23.309999465942383,21.059999465942383,22.310454455288973,22.524999618530273,185754.54545454544,2.25
2012-04,23.8799991607666,22.06999969482422,22.94600009918213,22.9399995803833,103995.0,1.8099994659423828
2012-05,24.270000457763672,22.40999984741211,23.41000002080744,23.55500030517578,146313.63636363635,1.8600006103515625
2012-06,24.3799991607666,22.1299991607666,23.243333362397692,23.299999237060547,218685.7142857143,2.25
2012-07,26.68000030517578,24.219999313354492,25.12523787362235,24.950000762939453,138066.66666666666,2.460000991821289
2012-08,27.63999938964844,24.760000228881836,26.56043483899987,26.450000762939453,144108.69565217392,2.879999160766605
2012-09,28.15999984741211,26.6299991607666,27.371578718486585,27.420000076293945,222510.52631578947,1.5300006866455078
2012-10,28.450000762939453,26.489999771118164,27.5747617994036,27.59000015258789,129580.95238095238,1.960000991821289
2012-11,28.229999542236328,24.8700008392334,27.22857157389323,27.34000015258789,147666.66666666666,3.3599987030029297
2012-12,27.969999313354492,26.6299991607666,27.13050012588501,27.09000015258789,115300.0,1.3400001525878906
2013-01,29.559999465942383,27.950000762939453,28.55666669209798,28.510000228881836,179200.0,1.6099987030029297
2013-02,30.780000686645508,28.84000015258789,29.764210349635075,29.709999084472656,150805.26315789475,1.9400005340576172
2013-03,32.709999084472656,29.989999771118164,31.860500144958497,31.999999046325684,156155.0,2.719999313354492
2013-04,33.7599983215332,31.690000534057617,32.82863634282892,32.75,172809.0909090909,2.069997787475586
2013-05,36.27000045776367,31.959999084472656,34.69181806390936,35.0049991607666,205231.81818181818,4.310001373291016
2013-06,33.060001373291016,28.65999984741211,31.339499855041502,31.56999969482422,178150.0,4.400001525878906
2013-07,34.2400016784668,30.940000534057617,33.12636332078414,33.39999961853027,140477.27272727274,3.3000011444091797
2013-08,33.380001068115234,29.239999771118164,31.085000384937633,30.75,198318.18181818182,4.14000129699707
2013-09,31.690000534057617,28.649999618530273,30.318499946594237,30.344999313354492,124825.0,3.0400009155273438
2013-10,34.61000061035156,30.43000030517578,32.509999980097234,32.5,465717.39130434784,4.180000305175781
2013-11,34.15999984741211,31.1200008392334,32.06349992752075,31.9350004196167,147815.0,3.039999008178711
2013-12,32.290000915527344,30.75,31.474762144542876,31.510000228881836,179400.0,1.5400009155273438
2014-01,33.4900016784668,30.63999938964844,31.909047717139835,31.940000534057617,115395.23809523809,2.850002288818356
2014-02,34.06999969482422,31.170000076293945,32.867894624408926,33.06999969482422,265300.0,2.8999996185302734
2014-03,34.400001525878906,32.400001525878906,33.25761922200521,33.2599983215332,132938.09523809524,2.0
2014-04,34.52000045776367,32.15999984741211,33.58857163928804,33.709999084472656,130347.61904761905,2.3600006103515625
2014-05,34.900001525878906,33.25,34.24190484909784,34.27000045776367,185247.61904761905,1.6500015258789062
2014-06,35.220001220703125,33.459999084472656,34.37095224289667,34.36000061035156,176809.52380952382,1.7600021362304688
2014-07,35.84000015258789,34.220001220703125,35.16363664106889,35.20000076293945,146609.0909090909,1.6199989318847656
2014-08,35.529998779296875,34.02000045776367,34.86428578694662,34.869998931884766,147800.0,1.5099983215332031
2014-09,35.66999816894531,32.900001525878906,34.10000010899135,33.630001068115234,166442.85714285713,2.7699966430664062
2014-10,38.720001220703125,32.84000015258789,35.512174025825836,35.130001068115234,145130.4347826087,5.880001068115234
2014-11,39.56999969482422,37.83000183105469,38.73052637200607,38.66999816894531,150778.94736842104,1.7399978637695312
2014-12,41.06999969482422,38.029998779296875,39.53545431657271,39.47999954223633,161427.27272727274,3.0400009155273438
2015-01,45.09000015258789,39.95000076293945,43.22849998474121,43.52000045776367,156230.0,5.1399993896484375
2015-02,44.34000015258789,40.61000061035156,42.57210500616776,42.52000045776367,155484.2105263158,3.729999542236328
2015-03,45.0,40.09000015258789,42.42272741144354,42.494998931884766,153486.36363636365,4.909999847412109
2015-04,43.900001525878906,39.5,41.76761899675642,41.59000015258789,141609.52380952382,4.400001525878906
2015-05,41.22999954223633,38.970001220703125,40.14749984741211,40.22999954223633,196015.0,2.259998321533203
2015-06,41.380001068115234,38.77000045776367,39.7145451632413,39.529998779296875,279013.63636363635,2.6100006103515625
2015-07,41.959999084472656,38.9900016784668,40.932272997769445,41.11000061035156,193950.0,2.9699974060058594
2015-08,42.279998779296875,37.869998931884766,40.559047517322355,40.720001220703125,213595.2380952381,4.409999847412109
2015-09,41.310001373291016,37.27000045776367,39.22047605968657,39.25,210004.7619047619,4.040000915527344
2015-10,43.790000915527344,40.619998931884766,42.514999563043766,42.454999923706055,202681.81818181818,3.170001983642578
2015-11,42.84000015258789,38.939998626708984,40.16499977111816,39.93000030517578,179845.0,3.9000015258789062
2015-12,40.150001525878906,37.77000045776367,38.83181797374379,38.88999938964844,200118.18181818182,2.3800010681152344
2016-01,38.959999084472656,34.869998931884766,37.345789457622324,37.279998779296875,226705.26315789475,4.090000152587891
2016-02,38.09000015258789,34.06999969482422,36.27799987792969,36.40500068664551,209220.0,4.020000457763672
2016-03,39.95000076293945,37.20000076293945,38.224545218727805,38.045000076293945,142459.0909090909,2.75
2016-04,39.93000030517578,37.45000076293945,38.7052377973284,38.54999923706055,203352.38095238095,2.479999542236328
2016-05,42.369998931884766,38.599998474121094,40.59000015258789,40.68000030517578,135047.61904761905,3.770000457763672
2016-06,42.45000076293945,39.70000076293945,41.1390907981179,41.02000045776367,175954.54545454544,2.75
2016-07,46.380001068115234,42.16999816894531,44.35949974060058,44.64999961853027,210645.0,4.210002899169922
2016-08,46.20000076293945,43.77000045776367,44.92782609359078,44.68000030517578,160982.60869565216,2.4300003051757812
2016-09,45.5,41.88999938964844,43.559047517322355,43.86000061035156,145976.19047619047,3.6100006103515625
2016-10,43.529998779296875,38.27000045776367,40.46333331153507,40.650001525878906,186123.80952380953,5.259998321533203
2016-11,41.45000076293945,37.540000915527344,39.81476193382626,40.060001373291016,245047.61904761905,3.9099998474121094
2016-12,43.5,38.970001220703125,42.00476201375326,42.4900016784668,278476.1904761905,4.529998779296875
2017-01,44.11000061035156,41.65999984741211,43.22049961090088,43.10499954223633,187110.0,2.450000762939453
2017-02,44.790000915527344,41.970001220703125,43.44105308934262,43.220001220703125,188873.68421052632,2.8199996948242188
