Statistic,Value
Starting Price,22.600000381469727
Mean Final Price,23.302839767444436
Median Final Price,22.460542768896875
Minimum Final Price,9.993508747064924
Maximum Final Price,47.48197298239937
5th Percentile,15.127760404328061
25th Percentile,19.19819237076339
75th Percentile,26.69581094958728
95th Percentile,34.5163875934202
