Date,Open,High,Low,Close,Adj Close,Volume,Simple_Return,Simple_Return_Pct,Log_Return,Log_Return_Pct,Rolling_Volatility_20,Rolling_Volatility_50,Rolling_Volatility_252,Rolling_Volatility_20_Pct,Rolling_Volatility_50_Pct,Rolling_Volatility_252_Pct,Rolling_Drift_20,Rolling_Drift_50,Annualised_Drift_20,Annualised_Drift_50,Price_ZScore_20,Mean_Reversion_State,Price_Change,Squared_Log_Return,YearMonth
2011-01-13,21.530000686645508,22.0,21.18000030517578,21.25,16.332218170166016,15536900,,,,,,,,,,,,,,,,Normal,,,2011-01
2011-01-14,21.15999984741211,21.450000762939453,21.15999984741211,21.309999465942383,16.378332138061523,1304800,0.002823496931956493,0.2823496931956493,0.002819518351740681,0.2819518351740681,,,,,,,,,,,,Normal,0.04611396789550781,7.949683735802486e-06,2011-01
2011-01-18,21.299999237060547,21.450000762939453,21.200000762939453,21.3700008392334,16.424449920654297,124800,0.0028157801541708327,0.28157801541708327,0.002811823271300384,0.2811823271300384,,,,,,,,,,,,Normal,0.04611778259277344,7.906350109026392e-06,2011-01
2011-01-19,21.420000076293945,21.420000076293945,20.8799991607666,21.25,16.332218170166016,1010200,-0.005615515340473998,-0.5615515340473998,-0.005631341623041145,-0.5631341623041145,,,,,,,,,,,,Normal,-0.09223175048828125,3.171200847539568e-05,2011-01
2011-01-20,21.049999237060547,21.399999618530273,21.030000686645508,21.209999084472656,16.30147361755371,736600,-0.0018824480723913517,-0.18824480723913517,-0.0018842221044624117,-0.18842221044624116,,,,,,,,,,,,Normal,-0.030744552612304688,3.5502929389447595e-06,2011-01
2011-01-21,21.299999237060547,21.299999237060547,21.030000686645508,21.25,16.332218170166016,636800,0.0018859983663808144,0.18859983663808144,0.0018842221044625474,0.18842221044625473,,,,,,,,,,,,Normal,0.030744552612304688,3.5502929389452707e-06,2011-01
2011-01-24,21.200000762939453,21.38999938964844,21.100000381469727,21.299999237060547,16.370651245117188,354300,0.002353206071014746,0.23532060710147462,0.002350441617644652,0.2350441617644652,,,,,,,,,,,,Normal,0.038433074951171875,5.524575797956009e-06,2011-01
2011-01-25,21.200000762939453,21.469999313354492,21.149999618530273,21.270000457763672,16.347591400146484,295700,-0.0014086088956040133,-0.14086088956040133,-0.0014096019177438257,-0.14096019177438257,,,,,,,,,,,,Normal,-0.023059844970703125,1.986977566507071e-06,2011-01
2011-01-26,21.290000915527344,21.36000061035156,21.209999084472656,21.270000457763672,16.347591400146484,346800,0.0,0.0,0.0,0.0,,,,,,,,,,,,Normal,0.0,0.0,2011-01
2011-01-27,21.200000762939453,21.399999618530273,21.200000762939453,21.399999618530273,16.447507858276367,450400,0.006111998745514713,0.6111998745514713,0.0060933962416872415,0.6093396241687241,,,,,,,,,,,,Normal,0.09991645812988281,3.71294777582082e-05,2011-01
2011-01-28,21.260000228881836,21.3799991607666,21.260000228881836,21.299999237060547,16.370651245117188,475300,-0.004672842464732763,-0.46728424647327627,-0.0046837943239434274,-0.46837943239434277,,,,,,,,,,,,Normal,-0.07685661315917969,2.193792926900467e-05,2011-01
2011-01-31,21.299999237060547,21.399999618530273,21.25,21.290000915527344,16.362960815429688,197600,-0.0004697693190301999,-0.04697693190301999,-0.00046987969520566504,-0.046987969520566504,,,,,,,,,,,,Normal,-0.0076904296875,2.2078692796656868e-07,2011-01
2011-02-01,21.270000457763672,21.399999618530273,21.209999084472656,21.299999237060547,16.370651245117188,560900,0.0004699901059621592,0.04699901059621592,0.00046987969520559554,0.04698796952055955,,,,,,,,,,,,Normal,0.0076904296875,2.2078692796650337e-07,2011-02
2011-02-02,21.149999618530273,21.25,21.059999465942383,21.11000061035156,16.224618911743164,168300,-0.008920374100424344,-0.8920374100424344,-0.0089603988390162,-0.89603988390162,,,,,,,,,,,,Normal,-0.14603233337402344,8.028874735424286e-05,2011-02
2011-02-03,21.020000457763672,21.280000686645508,21.020000457763672,21.18000030517578,16.278419494628906,549400,0.003315984380181769,0.3315984380181769,0.0033104986277446985,0.33104986277446985,,,,,,,,,,,,Normal,0.05380058288574219,1.0959401164299531e-05,2011-02
2011-02-04,21.100000381469727,21.280000686645508,21.0,21.059999465942383,16.186189651489258,219600,-0.005665773828354759,-0.5665773828354759,-0.005681885209338934,-0.5681885209338934,,,,,,,,,,,,Normal,-0.09222984313964844,3.2283819532104535e-05,2011-02
2011-02-07,21.06999969482422,21.200000762939453,20.950000762939453,21.15999984741211,16.26305389404297,454900,0.004748754599365412,0.47487545993654123,0.004737514833457157,0.47375148334571576,,,,,,,,,,,,Normal,0.07686424255371094,2.2444046797226597e-05,2011-02
2011-02-08,21.209999084472656,21.209999084472656,20.940000534057617,20.950000762939453,16.101648330688477,247100,-0.009924677394914982,-0.9924677394914982,-0.009974255308219708,-0.9974255308219708,,,,,,,,,,,,Normal,-0.1614055633544922,9.948576895354903e-05,2011-02
2011-02-09,20.799999237060547,21.200000762939453,20.61000061035156,21.13999938964844,16.24767303466797,423900,0.00906892890594202,0.906892890594202,0.009028053117400417,0.9028053117400416,,,,,,,,,,,,Normal,0.1460247039794922,8.150574309060339e-05,2011-02
2011-02-10,21.010000228881836,21.350000381469727,21.010000228881836,21.239999771118164,16.324533462524414,256000,0.004730549888125379,0.47305498881253794,0.004719395999190114,0.47193959991901135,,,,,,,,,,,0.08923718037094817,Normal,0.07686042785644531,2.2272698597171654e-05,2011-02
2011-02-11,21.11000061035156,21.38999938964844,21.020000457763672,21.38999938964844,16.439817428588867,175600,0.00706200678439628,0.706200678439628,0.007037187594833771,0.7037187594833771,0.08291100015660993,,,8.291100015660993,,,0.00032832762168479707,,0.08273856066456886,,1.3586153240098484,Normal,0.11528396606445312,4.9522009244882317e-05,2011-02
2011-02-14,21.209999084472656,21.549999237060547,21.149999618530273,21.350000381469727,16.409076690673828,154900,-0.0018698953348217362,-0.18698953348217362,-0.0018716457715326528,-0.1871645771532653,0.08271348364356548,,,8.271348364356548,,,9.37694155211304e-05,,0.023629892711324863,,0.9697396612592851,Normal,-0.030740737915039062,3.503057894096059e-06,2011-02
2011-02-15,21.149999618530273,21.399999618530273,21.100000381469727,21.280000686645508,16.35527992248535,183800,-0.003278476248395612,-0.3278476248395612,-0.003283862226741097,-0.3283862226741097,0.08288669818613699,,,8.288669818613698,,,-0.00021101485938094367,,-0.053175744563997804,,0.4082361191577439,Normal,-0.05379676818847656,1.0783751124216996e-05,2011-02
2011-02-16,21.38999938964844,21.38999938964844,21.18000030517578,21.299999237060547,16.370651245117188,56200,0.0009398385539525211,0.09398385539525211,0.0009393971822225708,0.09393971822225708,0.08043292509348801,,,8.0432925093488,,,0.00011752208088224216,,0.029615564382325026,,0.5622782958490983,Normal,0.015371322631835938,8.824670659677059e-07,2011-02
2011-02-17,21.299999237060547,21.88999938964844,21.299999237060547,21.540000915527344,16.55510711669922,146600,0.011267473041858933,1.1267473041858933,0.011204467898258162,1.1204467898258161,0.08906747090840533,,,8.906747090840533,,,0.0007719565810182709,,0.19453305841660426,,2.2035005837343298,Above Normal Range,0.18445587158203125,0.00012554010088309766,2011-02
